# Builtin pg_proc snapshot (PostgreSQL 18.4): name, worst-case volatility
# across non-aggregate/non-window overloads (i/s/v, '-' when none), and
# whether any overload is an aggregate. Regenerate with the query in
# fit/src/volatility.rs.
box_out	i	0
box_overabove	i	0
box_overbelow	i	0
box_overlap	i	0
box_overleft	i	0
box_overright	i	0
box_recv	i	0
box_right	i	0
box_same	i	0
box_send	i	0
box_sub	i	0
bpchar	i	0
bpchar_larger	i	0
bpchar_pattern_ge	i	0
bpchar_pattern_gt	i	0
bpchar_pattern_le	i	0
bpchar_pattern_lt	i	0
bpchar_smaller	i	0
bpchar_sortsupport	i	0
bpcharcmp	i	0
bpchareq	i	0
bpcharge	i	0
bpchargt	i	0
bpchariclike	i	0
bpcharicnlike	i	0
bpcharicregexeq	i	0
bpcharicregexne	i	0
bpcharin	i	0
bpcharle	i	0
bpcharlike	i	0
bpcharlt	i	0
bpcharne	i	0
bpcharnlike	i	0
bpcharout	i	0
bpcharrecv	s	0
bpcharregexeq	i	0
bpcharregexne	i	0
bpcharsend	s	0
bpchartypmodin	i	0
bpchartypmodout	i	0
brin_bloom_add_value	i	0
brin_bloom_consistent	i	0
brin_bloom_opcinfo	i	0
brin_bloom_options	i	0
brin_bloom_summary_in	i	0
brin_bloom_summary_out	i	0
brin_bloom_summary_recv	s	0
brin_bloom_summary_send	s	0
brin_bloom_union	i	0
brin_desummarize_range	v	0
brin_inclusion_add_value	i	0
brin_inclusion_consistent	i	0
brin_inclusion_opcinfo	i	0
brin_inclusion_union	i	0
brin_minmax_add_value	i	0
brin_minmax_consistent	i	0
brin_minmax_multi_add_value	i	0
brin_minmax_multi_consistent	i	0
brin_minmax_multi_distance_date	i	0
brin_minmax_multi_distance_float4	i	0
brin_minmax_multi_distance_float8	i	0
brin_minmax_multi_distance_inet	i	0
brin_minmax_multi_distance_int2	i	0
brin_minmax_multi_distance_int4	i	0
brin_minmax_multi_distance_int8	i	0
brin_minmax_multi_distance_interval	i	0
brin_minmax_multi_distance_macaddr	i	0
brin_minmax_multi_distance_macaddr8	i	0
brin_minmax_multi_distance_numeric	i	0
brin_minmax_multi_distance_pg_lsn	i	0
brin_minmax_multi_distance_tid	i	0
brin_minmax_multi_distance_time	i	0
brin_minmax_multi_distance_timestamp	i	0
brin_minmax_multi_distance_timetz	i	0
brin_minmax_multi_distance_uuid	i	0
brin_minmax_multi_opcinfo	i	0
brin_minmax_multi_options	i	0
brin_minmax_multi_summary_in	i	0
brin_minmax_multi_summary_out	i	0
brin_minmax_multi_summary_recv	s	0
brin_minmax_multi_summary_send	s	0
brin_minmax_multi_union	i	0
brin_minmax_opcinfo	i	0
brin_minmax_union	i	0
brin_summarize_new_values	v	0
brin_summarize_range	v	0
